X,Y,project,site,data.origin,country,season,date,station,lat,lon,trans2,trans_code,observer,depth,trans,species,sp.length,sp.n,a,b,family,exotic,biomass.g,habitat,other.info,protection,enforcement,total.mpa.ha,size.notake,yr.creation,age.reserve.yr
34.0748833333333,34.97645,Cavo Greco,Kavo Gkreko,Periklis_MER,Cyprus,Summer,17/07/2017,CG6_S 5-15 m,34°58.587'N,34°4.493'E,T1,CG6_S 5-15 m T1,Periklis,14,"1",Xyrichtys novacula,"5","1.00","0.011","3.075",Labridae,FALSE,"1.6",Sand,,true,"1","785","150",May-18,-0.789041096
34.0748833333333,34.97645,Cavo Greco,Kavo Gkreko,Periklis_MER,Cyprus,Summer,17/07/2017,CG6_S 5-15 m,34°58.587'N,34°4.493'E,T1,CG6_S 5-15 m T1,Periklis,14,"1",Xyrichtys novacula,"10","1.00","0.011","3.075",Labridae,FALSE,"13.1",Sand,,true,"1","785","150",May-18,-0.789041096
34.0748833333333,34.97645,Cavo Greco,Kavo Gkreko,Periklis_MER,Cyprus,Summer,17/07/2017,CG6_S 5-15 m,34°58.587'N,34°4.493'E,T2,CG6_S 5-15 m T2,Periklis,14,"2",Torquigener flavimaculosus,"10","2.00","0.0083","3.3267",Tetraodontidae,TRUE,"35.2",Sand,,true,"1","785","150",May-18,-0.789041096
34.0748833333333,34.97645,Cavo Greco,Kavo Gkreko,Periklis_MER,Cyprus,Summer,17/07/2017,CG6_S 5-15 m,34°58.587'N,34°4.493'E,T2,CG6_S 5-15 m T2,Periklis,14,"2",Xyrichtys novacula,"10","1.00","0.011","3.075",Labridae,FALSE,"13.1",Sand,,true,"1","785","150",May-18,-0.789041096
34.0748833333333,34.97645,Cavo Greco,Kavo Gkreko,Periklis_MER,Cyprus,Summer,17/07/2017,CG6_S 5-15 m,34°58.587'N,34°4.493'E,T3,CG6_S 5-15 m T3,Periklis,14,"3",Xyrichtys novacula,"10","2.00","0.011","3.075",Labridae,FALSE,"26.1",Sand,,true,"1","785","150",May-18,-0.789041096
34.0754,34.9761666666667,Cavo Greco,Kavo Gkreko,Periklis_MER,Cyprus,Summer,17/07/2017,CG6_P 5-15 m,34°58.570'N,34°4.524'E,T1,CG6_P 5-15 m T1,Periklis,14.5,"1",Diplodus annularis,"5","1.00","0.011","3.02",Sparidae,FALSE,"1.4",Posidonia,,true,"1","785","150",May-18,-0.789041096
34.0754,34.9761666666667,Cavo Greco,Kavo Gkreko,Periklis_MER,Cyprus,Summer,17/07/2017,CG6_P 5-15 m,34°58.570'N,34°4.524'E,T1,CG6_P 5-15 m T1,Periklis,14.5,"1",Serranus scriba,"10","1.00","0.0093","3.1637",Serranidae,FALSE,"13.6",Posidonia,,true,"1","785","150",May-18,-0.789041096
34.0754,34.9761666666667,Cavo Greco,Kavo Gkreko,Periklis_MER,Cyprus,Summer,17/07/2017,CG6_P 5-15 m,34°58.570'N,34°4.524'E,T1,CG6_P 5-15 m T1,Periklis,14.5,"1",Symphodus roissali,"10","1.00","0.035","2.67",Labridae,FALSE,"16.4",Posidonia,,true,"1","785","150",May-18,-0.789041096
34.0754,34.9761666666667,Cavo Greco,Kavo Gkreko,Periklis_MER,Cyprus,Summer,17/07/2017,CG6_P 5-15 m,34°58.570'N,34°4.524'E,T1,CG6_P 5-15 m T1,Periklis,14.5,"1",Symphodus tinca,"10","1.00","0.02782","2.733",Labridae,FALSE,"15.0",Posidonia,,true,"1","785","150",May-18,-0.789041096
34.0754,34.9761666666667,Cavo Greco,Kavo Gkreko,Periklis_MER,Cyprus,Summer,17/07/2017,CG6_P 5-15 m,34°58.570'N,34°4.524'E,T1,CG6_P 5-15 m T1,Periklis,14.5,"1",Thalassoma pavo,"15","1.00","0.0092","3.111",Labridae,FALSE,"41.9",Posidonia,,true,"1","785","150",May-18,-0.789041096
34.0754,34.9761666666667,Cavo Greco,Kavo Gkreko,Periklis_MER,Cyprus,Summer,17/07/2017,CG6_P 5-15 m,34°58.570'N,34°4.524'E,T2,CG6_P 5-15 m T2,Periklis,14.2,"2",Chromis chromis,"5","160.00","0.0147","3.051",Pomacentridae,FALSE,"319.1",Posidonia,,true,"1","785","150",May-18,-0.789041096
34.0754,34.9761666666667,Cavo Greco,Kavo Gkreko,Periklis_MER,Cyprus,Summer,17/07/2017,CG6_P 5-15 m,34°58.570'N,34°4.524'E,T2,CG6_P 5-15 m T2,Periklis,14.2,"2",Coris julis,"5","2.00","0.0068","3.118",Labridae,FALSE,"2.1",Posidonia,,true,"1","785","150",May-18,-0.789041096
34.0754,34.9761666666667,Cavo Greco,Kavo Gkreko,Periklis_MER,Cyprus,Summer,17/07/2017,CG6_P 5-15 m,34°58.570'N,34°4.524'E,T2,CG6_P 5-15 m T2,Periklis,14.2,"2",Coris julis,"10","2.00","0.0068","3.118",Labridae,FALSE,"17.8",Posidonia,,true,"1","785","150",May-18,-0.789041096
34.0754,34.9761666666667,Cavo Greco,Kavo Gkreko,Periklis_MER,Cyprus,Summer,17/07/2017,CG6_P 5-15 m,34°58.570'N,34°4.524'E,T2,CG6_P 5-15 m T2,Periklis,14.2,"2",Serranus cabrilla,"10","1.00","0.039","2.55",Serranidae,FALSE,"13.8",Posidonia,,true,"1","785","150",May-18,-0.789041096
34.0754,34.9761666666667,Cavo Greco,Kavo Gkreko,Periklis_MER,Cyprus,Summer,17/07/2017,CG6_P 5-15 m,34°58.570'N,34°4.524'E,T2,CG6_P 5-15 m T2,Periklis,14.2,"2",Siganus rivulatus,"15","1.00","0.017","2.823",Siganidae,TRUE,"35.5",Posidonia,,true,"1","785","150",May-18,-0.789041096
34.0754,34.9761666666667,Cavo Greco,Kavo Gkreko,Periklis_MER,Cyprus,Summer,17/07/2017,CG6_P 5-15 m,34°58.570'N,34°4.524'E,T2,CG6_P 5-15 m T2,Periklis,14.2,"2",Torquigener flavimaculosus,"5","4.00","0.0083","3.3267",Tetraodontidae,TRUE,"7.0",Posidonia,,true,"1","785","150",May-18,-0.789041096
